id,registration,type,city,latitude,longitude,capacity,status,equipment,assigned_volunteer_id
1,KA-09-AB-1234,ambulance,Bangalore,12.9716,77.5946,3,available,"oxygen;stretcher;emergency_kit;cage_transport",3
2,KA-09-CD-5678,van,Bangalore,12.9352,77.6245,5,available,"oxygen;stretcher;emergency_kit;recovery_cage;heat_lamp",4
3,KA-09-EF-9012,pickup,Bangalore,12.9689,77.5906,2,available,"basic_tools;water;food;cage_transport",3
4,TS-07-AB-1234,ambulance,Hyderabad,17.385,78.4867,3,available,"oxygen;stretcher;emergency_kit;cage_transport;oxygen_concentrator",1
5,TS-13-CD-5678,van,Hyderabad,17.3689,78.7747,5,available,"oxygen;stretcher;IV_setup;recovery_cage;heat_lamp;monitoring_device",2
6,TS-10-EF-9012,pickup,Hyderabad,17.4009,78.4405,2,in_use,"basic_tools;water;food;cage_transport",5
7,WB-12-AB-1234,ambulance,Kolkata,22.5726,88.3639,3,available,"oxygen;stretcher;emergency_kit;cage_transport;defibrillator",7
8,WB-12-CD-5678,van,Kolkata,22.5598,88.3391,5,available,"oxygen;stretcher;IV_setup;recovery_cage;thermal_blanket",8
9,WB-12-EF-9012,pickup,Kolkata,22.5871,88.3677,2,available,"basic_tools;water;food;cage_transport;first_aid",7
10,AP-35-MV-1962,ambulance,Viziangaram,18.11,83.4011,3,available,"oxygen;stretcher;emergency_kit;cage_transport;suction",10
11,AP-39-MV-1962,van,Vishakapatnam,17.7425,83.3124,5,in_use,"oxygen;stretcher;IV_setup;recovery_cage;oxygen_concentrator",9
12,AP-39-MV-1963,pickup,Vishakapatnam,17.705,83.3111,2,available,"basic_tools;water;food;cage_transport;monitoring",6
13,AP-05-EF-0987,ambulance,Rajahmundry,17.0103,81.8003,3,available,"oxygen;stretcher;emergency_kit;cage_transport;defibrillator",12
14,AP-05-AW-3680,van,Rajahmundry,17.0166,81.8071,5,available,"oxygen;stretcher;IV_setup;recovery_cage;heating_pad",13
15,AP-40-CD-6789,pickup,Rajahmundry,17.0103,81.8003,2,available,"basic_tools;water;food;cage_transport;thermal_imaging",11
